time,ticker,volume,open,curr
2018-07-29T15:30:00Z,DROO,4000,12,13
2018-07-29T15:30:00Z,EEEEE,184462,15,15
2018-07-29T15:30:00Z,FAER,79250,10,11
2018-07-29T15:30:00Z,FISH,1631,38,44
2018-07-29T15:30:00Z,HELT,6945,20,19
2018-07-29T15:30:00Z,HUW,0,7,9
2018-07-29T15:30:00Z,KAUF,11605,18,17
2018-07-29T15:30:00Z,KBAT,0,8,9
2018-07-29T15:30:00Z,KSON,1101,1054,1067
2018-07-29T15:30:00Z,LDSC,200,12,14
2018-07-29T15:30:00Z,LUPE,57050,10,9
2018-07-29T15:30:00Z,MPC,0,6,6
2018-07-29T15:30:00Z,MYNC,2500,12,12
2018-07-29T15:30:00Z,NAKR,0,13,12
2018-07-29T15:30:00Z,NATN,67050,10,9
2018-07-29T15:30:00Z,PDSS,435353,15,16
2018-07-29T15:30:00Z,PEOP,4700,12,12
2018-07-29T15:30:00Z,POWR,0,8,8
2018-07-29T15:30:00Z,SHRX,116552,14,13
2018-07-29T15:30:00Z,SKBD,35600,11,12
2018-07-29T15:30:00Z,SKEI,0,6,7
2018-07-29T15:30:00Z,SMUG,636000,14,15
2018-07-29T15:30:00Z,SSS,2300,33,31
2018-07-29T15:30:00Z,STFP,0,14,14
2018-07-29T15:30:00Z,SWNC,6031,50,50
2018-07-29T15:30:00Z,TAG,2531,189,199
2018-07-29T15:30:00Z,TNAH,436957,13,15
2018-07-29T15:30:00Z,TNPT,36600,12,11
2018-07-29T15:30:00Z,TPEG,1400,30,31
2018-07-29T15:30:00Z,TPP,0,13,13
2018-07-29T15:30:00Z,TSRC,1600,43,40
2018-07-29T15:30:00Z,UNIB,63650,9,10
2018-07-29T15:30:00Z,VPTS,24,1563,1556
2018-07-29T15:30:00Z,YIPP,0,9,9
2018-07-29T16:00:00Z,AAVL,10688,19,20
2018-07-29T16:00:00Z,ACFI,1000,14,13
2018-07-29T16:00:00Z,BB,1000,13,13
2018-07-29T16:00:00Z,BOTT,338547,15,16
2018-07-29T16:00:00Z,BUZZ,6525,26,20
2018-07-29T16:00:00Z,CHIA,2409,61,67
2018-07-29T16:00:00Z,CHPS,117100,8,10
2018-07-29T16:00:00Z,COFL,72200,12,9
2018-07-29T16:00:00Z,CYBU,0,6,6
2018-07-29T16:00:00Z,DROO,4000,12,13
2018-07-29T16:00:00Z,EEEEE,201712,15,14
2018-07-29T16:00:00Z,FAER,79250,10,11
2018-07-29T16:00:00Z,FISH,1631,38,45
2018-07-29T16:00:00Z,HELT,8945,20,19
2018-07-29T16:00:00Z,HUW,0,7,9
2018-07-29T16:00:00Z,KAUF,13605,18,17
2018-07-29T16:00:00Z,KBAT,0,8,9
2018-07-29T16:00:00Z,KSON,1101,1054,1067
2018-07-29T16:00:00Z,LDSC,200,12,14
2018-07-29T16:00:00Z,LUPE,57050,10,9
2018-07-29T16:00:00Z,MPC,0,6,6
2018-07-29T16:00:00Z,MYNC,2500,12,12
2018-07-29T16:00:00Z,NAKR,0,13,12
2018-07-29T16:00:00Z,NATN,67050,10,9
